No.,iupac_name,official_name,aliases,regulation_date,designated_date_ja,category,pubchem_cid,inchi_key,smiles,effective_date,gazette_date,source_link
1,isobutyl nitrite,亜硝酸イソブチル,,2007/02/28,平成19年2月28日,指定薬物,,,,,,
2,isopropyl nitrite,亜硝酸イソプロピル,,2007/02/28,平成19年2月28日,指定薬物,,,,,,
3,isopentyl nitrite,亜硝酸イソペンチル,亜硝酸イソアミル,2007/02/28,平成19年2月28日,指定薬物,,,,,,
4,tert-butyl nitrite,亜硝酸三級ブチル; 亜硝酸ターシャリーブチル,,2007/02/28,平成19年2月28日,指定薬物,,,,,,
5,cyclohexyl nitrite,亜硝酸シクロヘキシル,,2007/02/28,平成19年2月28日,指定薬物,,,,,,
6,butyl nitrite,亜硝酸ブチル,,2007/02/28,平成19年2月28日,指定薬物,,,,,,
7,"(6aR,9R)-4-acetyl-N,N-diethyl-7-methyl-6,6a,8,9-tetrahydroindolo[4,3-fg]quinoline-9-carboxamide",ALD-52,1-Acetyl-LSD; 1A-LSD,2020/02/28,令和2年2月28日,指定薬物,201111,,,,,
8,[3-[2-[methyl(propan-2-yl)amino]ethyl]-1H-indol-4-yl] acetate,4-AcO-MIPT,,2015/03/25,平成27年3月25日,指定薬物,46783587,,,,,
9,[3-[2-[ethyl(methyl)amino]ethyl]-1H-indol-4-yl] acetate,4-AcO-MET,,2015/07/29,平成27年7月29日,指定薬物,71308138,,,,,
10,[3-[2-[bis(prop-2-enyl)amino]ethyl]-1H-indol-4-yl] acetate,4-AcO-DALT,,2015/07/29,平成27年7月29日,指定薬物,119025857,,,,,
11,[3-[2-[di(propan-2-yl)amino]ethyl]-1H-indol-4-yl] acetate,4-AcO-DIPT,,2007/02/28,平成19年2月28日,指定薬物,24801868,,,,,
12,"4-acetoxy-N,N-jiechirutoripu tamine",4-AcO-DET,4-Acetoxy-N-diethyltriptamine,2015/7/29,平成27年7月29日,指定薬物,24801867,,,,,
13,"4-acetoxy-N,N-jimechirutoripu tamine",4-AcO-DMT,4-Acetoxy-N-dimethyltriptamine,2015/7/29,平成27年7月29日,指定薬物,24801867,,,,,
14,N-(1-Adamantyl)-1-(5-chloropenthyl)-1H-indazole-3-carboxamide,APINACA N-(5-chloropentyl)誘導体,,2016/04/08,平成28年4月8日,指定薬物,,,,,,
15,N-(1-Adamantyl)-1-(cyclohexylmethyl)-1H-indazole-3-carboxamide,Adamantyl-CHMINACA,A-CHMINACA,2021/10/21,令和3年10月21日,指定薬物,137700313,,,,,
16,N-(1-adamantyl)-1-(oxan-4-ylmethyl)indazole-3-carboxamide,Adamantyl-THPINACA,ATHPINACA; AD-THPINACA,2017,平成29年2月24日,指定薬物,123132009,,,,,
17,N-(2-adamantyl)-1-(oxan-4-ylmethyl)indazole-3-carboxamide,Adamantyl-THPINACA 2- adamantyl 異性体,ATHPINACA 2-adamantyl 異性体,2017,平成29年2月24日,指定薬物,,,,,,
