law_number,law_category,official_name,systematic_name,common_name,aliases,effective_date,effective_date_ja,pubchem_cid,inchi_key,smiles,source_link,note,status
1,指定薬物,亜硝酸イソブチル,isobutyl nitrite,亜硝酸イソブチル,,2007/02/28,平成19年2月28日,10958 ,APNSGVMLAYLYCT-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
2,指定薬物,亜硝酸イソプロピル,isopropyl nitrite,亜硝酸イソプロピル,,2007/02/28,平成19年2月28日,10929 ,SKRDXYBATCVEMS-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
3,指定薬物,亜硝酸イソペンチル,isopentyl nitrite,亜硝酸イソペンチル,亜硝酸イソアミル,2007/02/28,平成19年2月28日,8053 ,OWFXIOWLTKNBAP-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
4,指定薬物,亜硝酸３級ブチル,tert-butyl nitrite,亜硝酸三級ブチル,,2007/02/28,平成19年2月28日,10906 ,IOGXOCVLYRDXLW-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
5,指定薬物,亜硝酸シクロヘキシル,cyclohexyl nitrite,亜硝酸シクロヘキシル,,2007/02/28,平成19年2月28日,545140 ,NRCNZCLHYWKEDX-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
6,指定薬物,亜硝酸ブチル,butyl nitrite,亜硝酸ブチル,,2007/02/28,平成19年2月28日,10996 ,JQJPBYFTQAANLE-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
7,指定薬物,４－アセチル－N，N－ジエチル－７－メチル－４，６，６a，７，８，９－ヘキサヒドロインドロ[４，３－ｆｇ]キノリン－９－カルボキサミド及びその塩類,"(6aR,9R)-4-acetyl-N,N-diethyl-7-methyl-6,6a,8,9-tetrahydroindolo[4,3-fg]quinoline-9-carboxamide",ALD-52,1-Acetyl-LSD; 1A-LSD,2020/02/28,令和2年2月28日,201111,FJOWXGYLIWJFCH-OXQOHEQNSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
8,指定薬物,４－アセトキシ－Ｎ－イソプロピル－Ｎ－メチルトリプタミン及びその塩類,[3-[2-[methyl(propan-2-yl)amino]ethyl]-1H-indol-4-yl] acetate,4-AcO-MIPT,,2015/03/25,平成27年3月25日,46783587,CIDMXLOVFPIHDS-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
9,指定薬物,４－アセトキシ－Ｎ－エチル－Ｎ－メチルトリプタミン及びその塩類,[3-[2-[ethyl(methyl)amino]ethyl]-1H-indol-4-yl] acetate,4-AcO-MET,,2015/07/29,平成27年7月29日,71308138,OMDKHOOGGJRLLX-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
10,指定薬物,４－アセトキシ－Ｎ，Ｎ－ジアリルトリプタミン及びその塩類,[3-[2-[bis(prop-2-enyl)amino]ethyl]-1H-indol-4-yl] acetate,4-AcO-DALT,,2015/07/29,平成27年7月29日,119025857,WRHFDIBXZYYCHO-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
11,指定薬物,４－アセトキシ－Ｎ，Ｎ－ジイソプロピルトリプタミン及びその塩類,[3-[2-[di(propan-2-yl)amino]ethyl]-1H-indol-4-yl] acetate,4-AcO-DIPT,,2007/02/28,平成19年2月28日,24801868,ZPAOVGZYDSXCPK-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
12,指定薬物,４－アセトキシ－Ｎ，Ｎ－ジエチルトリプタミン及びその塩類,"4-acetoxy-N,N-jiechirutoripu tamine",4-AcO-DET,,2015/07/29,平成27年7月29日,24801867,WYEVVQJLTXBMPM-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
13,指定薬物,４－アセトキシ－Ｎ，Ｎ－ジメチルトリプタミン及びその塩類,"4-acetoxy-N,N-jimechirutoripu tamine",4-AcO-DMT,,2015/07/29,平成27年7月29日,15429212,RTLRUOSYLFOFHV-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
